trade_id,coin,type,timeframe,entry_price,exit_price,profit,profit_percentage,entry_time,exit_time,tp1_time,tp2_time,tp3_time
#1020,CRV,long,1h,1.1227133061014238,1.2007410340938234,4.054122670041751,4.054122670041751,12/06/2024 11:00,12/06/2024 18:00,12/06/2024 14:00,12/06/2024 15:00,12/06/2024 18:00
#1077,DEXE,long,1h,10.864150381185187,11.094411890696241,1.236352675254433,1.236352675254433,12/06/2024 15:00,12/06/2024 18:00,12/06/2024 16:00,12/06/2024 17:00,12/06/2024 18:00
#1078,ILV,long,1h,68.52046361386846,70.15550175788944,1.3919524188477084,1.3919524188477084,12/06/2024 15:00,12/06/2024 18:00,12/06/2024 16:00,12/06/2024 17:00,12/06/2024 18:00
#1073,_SUPER,long,1h,1.7444643811641594,1.8012001569717724,1.8971937506125072,1.8971937506125072,12/06/2024 15:00,12/06/2024 19:00,12/06/2024 17:00,12/06/2024 18:00,12/06/2024 19:00
#1015,COMP,long,1h,118.40954143088281,118.31026971710727,0.5192695957186928,0.5192695957186928,12/06/2024 10:00,12/06/2024 19:00,12/06/2024 15:00,,
#1092,_CTC,short,1h,1.7329004092402887,1.7455859379961836,1.5676831393293282,1.5676831393293282,12/06/2024 17:00,12/06/2024 19:00,12/06/2024 18:00,,
#1087,ETC,long,1h,37.551406643242494,38.94445521891845,2.16399794783863,2.16399794783863,12/06/2024 17:00,12/06/2024 20:00,12/06/2024 18:00,12/06/2024 19:00,12/06/2024 20:00
#1103,__BRETT,long,1h,0.20385207290895618,0.20180182225129645,-1.0057541374992114,-1.0057541374992114,12/06/2024 18:00,12/06/2024 20:00,,,
#1116,BTG,long,1h,38.58713299605169,38.18125571212322,-1.0518461788026745,-1.0518461788026745,12/06/2024 19:00,12/06/2024 20:00,,,
#1111,AVAX,long,1h,52.95411735909964,52.35412905890422,-1.133034275931177,-1.133034275931177,12/06/2024 19:00,12/06/2024 21:00,,,
#1097,WBTC,long,1h,100797.2024421044,101114.61932715379,0.43892810069169363,0.43892810069169363,12/06/2024 18:00,12/06/2024 21:00,12/06/2024 19:00,12/06/2024 20:00,
#1121,HBAR,long,1h,0.3273804838665399,0.32125274466365816,-1.8717484715367976,-1.8717484715367976,12/06/2024 20:00,12/06/2024 21:00,,,
#1125,CRO,short,1h,0.20573929601534433,0.20573929601534433,0.0,0.0,12/06/2024 21:00,12/06/2024 21:00,,,
#1052,XMR,long,1h,199.20672837456195,201.24810546795982,1.3091731677490326,1.3091731677490326,12/06/2024 14:00,12/06/2024 21:00,12/06/2024 17:00,12/06/2024 19:00,
#1102,MKR,long,1h,2275.497162066911,2250.129958999793,-0.10708202410791345,-0.10708202410791345,12/06/2024 18:00,12/06/2024 21:00,12/06/2024 19:00,,
#1104,RUNE,long,1h,7.1672145766827855,7.359830301858735,1.567682560877189,1.567682560877189,12/06/2024 18:00,12/06/2024 21:00,12/06/2024 19:00,12/06/2024 20:00,12/06/2024 21:00
#1090,__AXL,long,1h,1.0905941844889948,1.0760236444161118,-1.3360185007505956,-1.3360185007505956,12/06/2024 17:00,12/06/2024 21:00,,,
#1091,BLUR,long,1h,0.4259888624734231,0.4405163724885958,1.9893432877515216,1.9893432877515216,12/06/2024 17:00,12/06/2024 21:00,12/06/2024 19:00,12/06/2024 20:00,12/06/2024 21:00
#1095,BTC,long,1h,101045.04568404642,100620.32204158211,-0.01458166665228286,-0.01458166665228286,12/06/2024 18:00,12/06/2024 22:00,12/06/2024 19:00,,
#1085,BNB,long,1h,746.3022558371375,735.6232551084187,-1.4309216735168602,-1.4309216735168602,12/06/2024 17:00,12/06/2024 22:00,,,
#1110,DOGE,long,1h,0.4401426364273815,0.4354853528663338,-1.058130518517971,-1.058130518517971,12/06/2024 19:00,12/06/2024 22:00,,,
#1119,DOT,long,1h,10.744269042185598,10.621593566063103,-1.1417759145906556,-1.1417759145906556,12/06/2024 20:00,12/06/2024 22:00,,,
#1122,POL,long,1h,0.7189337962117458,0.7109275263188343,-1.11363103739158,-1.11363103739158,12/06/2024 20:00,12/06/2024 22:00,,,
